"user_id","age_bracket","tier","gender","oPhone","oWatch","oPods","oTV","date","card"
1,"18-25","silver","female",0,0,1,0,2023-11-23,"Visa_debit"
2,"25-34","gold","female",1,1,0,0,2023-07-27,"Mastercard_debit"
3,"25-34","gold","female",1,0,0,0,2023-03-03,"Visa_debit"
4,"25-34","silver","female",1,0,1,0,2023-10-09,"Mastercard_credit"
5,"34-50","gold","female",0,0,1,0,2023-08-18,"Visa_debit"
6,"25-34","silver","male",1,1,0,0,2023-05-10,"Mastercard_credit"
7,"18-25","silver","male",0,0,0,1,2023-06-13,"Mastercard_credit"
8,"18-25","silver","female",1,0,0,0,2023-04-23,"Visa_debit"
9,"25-34","platinum","female",1,0,0,0,2023-12-24,"Visa_debit"
10,-,"silver","female",1,0,0,0,2023-05-01,"Visa_debit"
11,"25-34","silver","female",1,0,0,0,2023-04-19,"Visa_debit"
12,"25-34","silver","female",0,1,1,0,2023-06-14,"Mastercard_credit"
13,"18-25","silver","male",1,0,1,0,2023-10-07,"Visa_credit"
14,"34-50","silver","male",1,0,0,0,2023-05-08,"Visa_debit"
15,"18-25","silver","other",1,0,0,0,2023-02-14,"Visa_debit"
16,"34-50","silver","female",0,1,0,0,2023-04-29,"Mastercard_credit"
17,"18-25","silver","male",1,1,1,1,2023-10-17,"Visa_debit"
18,"18-25","platinum","male",1,0,1,0,2023-07-29,"Mastercard_credit"
19,"18-25","silver","female",1,0,0,0,2023-04-21,"Visa_credit"
20,"18-25","silver","male",1,1,0,0,2023-09-15,"Visa_debit"
21,"18-25","silver","female",0,0,1,0,-,"Visa_credit"
22,"18-25","silver",-,0,0,1,0,2023-07-25,"Visa_credit"
23,"18-25","gold","male",0,0,1,0,2023-05-27,"Visa_credit"
24,"18-25","platinum","female",1,0,1,0,2023-01-23,"Visa_debit"
25,"18-25","gold","female",1,1,0,0,2023-01-27,"Visa_credit"
26,"34-50","silver","female",1,0,0,1,2023-12-21,"Other_debit"
27,"25-34","silver","male",1,1,1,0,2023-04-19,"Visa_debit"
28,"34-50","silver","female",0,1,0,0,2023-05-02,"Mastercard_debit"
29,"34-50","silver","male",1,1,1,0,2023-08-04,"Mastercard_credit"
30,"18-25","silver","female",1,0,1,0,2023-09-12,"Visa_debit"
31,"25-34","silver","male",1,0,0,0,2023-10-17,"Visa_credit"
32,"18-25","gold","male",0,1,1,0,2023-05-15,"Mastercard_credit"
33,"18-25","gold","female",1,0,0,0,2023-01-26,"Visa_debit"
34,"25-34","gold","female",1,1,0,0,2023-11-29,"Visa_debit"
35,"18-25","silver","other",0,0,1,0,2023-06-18,"Visa_debit"
36,"25-34","silver","other",1,1,0,0,2023-01-22,"Visa_debit"
37,"18-25","gold","female",1,0,0,0,2023-10-24,"Visa_debit"
38,"18-25","silver","female",0,0,1,0,2023-12-08,"Mastercard_credit"
39,">50","gold","male",0,0,1,0,2023-05-17,"Visa_debit"
40,"34-50","silver","male",1,0,0,0,2023-06-15,"Mastercard_debit"
41,"25-34","silver","male",1,1,0,0,2023-12-07,"Visa_debit"
42,"25-34","silver","male",0,0,0,1,2023-05-05,"Visa_debit"
43,"18-25","gold","female",1,0,0,0,2023-08-01,"Mastercard_credit"
44,"25-34","gold","male",0,0,1,0,2023-10-11,"Visa_debit"
45,"18-25","gold","female",0,0,1,0,2023-01-31,"Visa_debit"
46,"25-34","silver","male",1,0,0,0,2023-10-29,"Visa_credit"
47,"25-34","gold","female",1,-,1,0,2023-03-02,"Mastercard_credit"
48,"25-34","silver","female",0,1,0,0,2023-09-25,"Other_debit"
49,"18-25","gold","male",1,0,0,0,2023-08-09,"Mastercard_credit"
50,"25-34","silver","female",1,0,1,0,2023-12-04,"Visa_debit"
51,"18-25","silver","female",0,1,1,1,2023-01-23,"Visa_debit"
52,"18-25","gold","male",1,0,0,0,2023-02-23,"Visa_debit"
53,"25-34","gold","female",0,1,1,0,2023-06-18,"Visa_credit"
54,"25-34",-,"female",1,0,1,0,2023-07-30,"Visa_debit"
